Frequency (MHz)	Leakage Power (nW)	Dynamic Power (nW)	Total Power (nW)
200.000000	4.795000	25645.074000	25649.868000
166.666667	4.801000	22263.933000	22268.734000
142.857143	4.799000	19374.439000	19379.239000
125.000000	4.800000	17432.536000	17437.336000
111.111111	4.799000	15460.880000	15465.680000
100.000000	4.790000	13033.749000	13038.540000
90.909091	4.793000	12908.040000	12912.833000
83.333333	4.794000	11759.393000	11764.187000
76.923077	4.808000	11187.643000	11192.451000
71.428571	4.803000	10629.307000	10634.110000
