Hold Time (ns)	Leakage Power (nW)	Dynamic Power (nW)	Total Power (nW)
0.050000	4.790000	13033.749000	13038.540000
0.100000	4.790000	13033.749000	13038.540000
0.150000	4.790000	13033.749000	13038.540000
0.200000	4.790000	13033.749000	13038.540000
0.250000	4.790000	13033.749000	13038.540000
0.300000	4.790000	13033.749000	13038.540000
0.350000	4.790000	13033.749000	13038.540000
0.400000	4.790000	13033.749000	13038.540000
0.450000	4.790000	13033.749000	13038.540000
0.500000	4.790000	13033.749000	13038.540000
